Once , http://www.imdb.com/title/tt0907657/?ref_=fn_tt_tt_1, Ireland, €180,000, $9,437,933(USA)(14December2007), true
The Warlords , http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1, Hong Kong, $40,000,000, $128,978(USA)(14May2010), false
The Boy in the Striped Pajamas , http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1, UK, $12,500,000, $9,030,581(USA)(16January2009), false
Flame and Citron , http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1, Denmark, DKK 45,000,000, $145,109(USA)(25September2009), true
In the Shadow of the Moon , http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1, UK, $2,000,000, $1,134,049(USA)(21December2007), false
Taken , http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1, France, $25,000,000, $145,000,989(USA)(3July2009), false
Silent Hill: Revelation 3D , http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1, France, $20,000,000, $17,529,157(USA)(14December2012), false
Green Zone , http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1, France, $100,000,000, $35,024,475(USA)(30April2010), false
The Young Victoria , http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1, UK, $35,000,000, $10,991,381(USA)(23April2010), false
Donkey Punch , http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1, UK, £900,000, $18,378(USA)(13February2009), true
The Iron Lady , http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1, UK, $13,000,000, $29,959,436(USA)(20April2012), false
Slumdog Millionaire , http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1, UK, $15,000,000, $141,319,195(USA)(22May2009), false
Child 44 , http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1, Czech Republic, $50,000,000, $1,206,135(USA)(8May2015), false
Splice , http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1, Canada, $26,000,000, $16,999,046(USA)(30July2010), false
Selma , http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1, UK, $20,000,000, $52,066,000(USA)(10April2015), false
The Warrior's Way , http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1, New Zealand, $45,000,000, $5,664,251(USA)(28January2011), false
RocknRolla , http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1, UK, $18,000,000, $5,694,401(USA)(19December2008), false
I Love You Beth Cooper, http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1, Canada, $18,000,000, $14,793,904(USA)(25September2009), false
4 Months 3 Weeks and 2 Days, http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1, Romania, €590,000, $1,185,783(USA)(2May2008), true
Coco Before Chanel , http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1, France, €19,430,000, $6,109,075(USA)(5February2010), true
The Nutcracker in 3D , http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1, UK, $90,000,000, $190,562(USA)(10December2010), false
I Love You Phillip Morris , http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1, France, $13,000,000, $2,035,566(USA)(8April2011), false
The Other End of the Line , http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1, UK, $14,000,000, $115,504(USA)(5December2008), false
The Imaginarium of Doctor Parnassus , http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1, UK, $30,000,000, $7,689,458(USA)(21May2010), false
Monte Carlo , http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1, Hungary, $20,000,000, $23,179,303(USA)(23September2011), false
Skyfall , http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1, UK, $200,000,000, $304,360,277(USA)(8March2013), false
Eddie the Eagle , http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1, UK, $23,000,000, $15,785,632(USA)(20May2016), false
Paddington , http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1, UK, $55,000,000, $76,137,505(USA)(5June2015), false
City of Life and Death , http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1, China, $12,000,000, $119,922(USA)(28October2011), false
District 9 , http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1, South Africa, $30,000,000, $115,646,235(USA)(30October2009), false
