The Machinist , http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1, Spain, $5,000,000, $1,082,044(USA)(25March2005), false
Downfall , http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1, Germany, €13,500,000, $5,501,940(USA)(10June2005), true
Oldboy , http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1, South Korea, $3,000,000, $2,181,290(USA)(20December2013), false
Babylon A.D. , http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1, France, $70,000,000, $22,531,698(USA)(14November2008), false
Shaun of the Dead , http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1, UK, £4,000,000, $13,464,388(USA)(26November2004), true
Mirrormask , http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1, UK, $4,000,000, $864,959(USA)(9December2005), false
Fateless , http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1, Hungary, HUF 2,500,000,000, $195,888(USA)(28April2006), true
Hannibal Rising , http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1, UK, $50,000,000, $27,667,947(USA)(4May2007), false
Osama , http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1, Afghanistan, $46,000, $1,127,331(USA)(23April2004), false
Alone in the Dark , http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1, Canada, $20,000,000, $5,132,655(USA)(11February2005), false
Four Christmases , http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1, Germany, $80,000,000, $120,136,047(USA)(6February2009), false
The Sea Inside , http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1, Spain, €10,000,000, $2,086,345(USA)(13May2005), true
Monster-in-Law , http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1, Germany, $60,000,000, $82,931,301(USA)(2September2005), false
The Chorus , http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1, France, €5,500,000, $3,629,758(USA)(20May2005), true
Dragon Wars: D-War , http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1, South Korea, $35,000,000, $10,956,379(USA)(12October2007), false
Kung Fu Hustle , http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1, Hong Kong, $20,000,000, $17,104,669(USA)(12August2005), false
Where the Truth Lies , http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1, Canada, $25,000,000, $871,527(USA)(25November2005), false
Harry Potter and the Order of the Phoenix , http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1, UK, $150,000,000, $292,000,866(USA)(7December2007), false
The Interpreter , http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1, UK, $80,000,000, $72,515,360(USA)(22July2005), false
Nomad: The Warrior , http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1, France, $25,000,000, $77,231(USA)(11May2007), false
Incident at Loch Ness , http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1, UK, $1,400,000, $36,830(USA)(26November2004), false
Alfie , http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1, UK, $60,000,000, $13,395,939(USA)(7January2005), false
White Noise , http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1, UK, $10,000,000, $55,865,715(USA)(18February2005), false
Astro Boy , http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1, Hong Kong, $65,000,000, $19,548,064(USA)(15January2010), false
Crash , http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1, Germany, $6,500,000, $54,557,348(USA)(31March2006), false
Layer Cake , http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1, UK, £4,000,000, $2,338,695(USA)(12August2005), true
X-Men: The Last Stand , http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1, Canada, $210,000,000, $234,360,014(USA)(22September2006), false
The Visual Bible: The Gospel of John , http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1, Canada, CAD 17,000,000, $4,068,087(USA)(9April2004), true
Capote , http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1, Canada, $7,000,000, $28,747,570(USA)(21April2006), false
Savage Grace , http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1, Spain, $4,600,000, $434,417(USA)(15August2008), false
Oliver Twist , http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1, UK, €50,000,000, $1,987,287(USA)(14October2005), true
Casino Royale , http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1, UK, $150,000,000, $167,007,184(USA)(23February2007), false
Yes , http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1, UK, £1,000,000, $396,035(USA)(23September2005), true
My Summer of Love , http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1, UK, £1,700,000, $992,238(USA)(5August2005), true
Jindabyne , http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1, Australia, AUD 15,000,000, $399,879(USA)(31August2007), true
Vera Drake , http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1, UK, $11,000,000, $3,753,806(USA)(25March2005), false
Saint Ralph , http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1, Canada, CAD 6,000,000, $795,126(USA)(28October2005), true
Silent Hill , http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1, Canada, $50,000,000, $46,982,632(USA)(16June2006), false
The White Countess , http://www.imdb.com/title/tt0384686/?ref_=fn_tt_tt_1, UK, $16,000,000, $1,666,262(USA)(21April2006), false
House of Flying Daggers , http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1, China, CNY 100,000,000, $11,041,228(USA)(1April2005), true
Tae Guk Gi: The Brotherhood of War , http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1, South Korea, $12,800,000, $1,110,186(USA)(10December2004), false
Where the Wild Things Are , http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1, Germany, $100,000,000, $77,222,184(USA)(5February2010), false
Renaissance , http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1, France, €14,000,000, $63,260(USA)(13October2006), true
The Constant Gardener , http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1, UK, £15,000,000, $33,565,375(USA)(25November2005), true
Seed of Chucky , http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1, Romania, $12,000,000, $17,016,190(USA)(17December2004), false
